id,date,property,type,assigned_cleaner
SouthWoodford-27112025,27/11/2025,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-29112025,29/11/2025,South Woodford,Cleaning: Checkin Same Day,CleanerA
SouthWoodford-30112025,30/11/2025,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-07122025,07/12/2025,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-12122025,12/12/2025,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-14122025,14/12/2025,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-21122025,21/12/2025,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-03012026,03/01/2026,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-11012026,11/01/2026,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-18022026,18/02/2026,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-01042026,01/04/2026,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-14072026,14/07/2026,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
SouthWoodford-18082026,18/08/2026,South Woodford,Cleaning: Checkin Not Same Day,CleanerA
